latitude,longitude,markerColor,markerType,name
50.636957,3.013168,,,name
50.638716,3.066069,,,Palais des Beaux-Arts de Lille
50.646329,3.012275,,,La Vieille Bourse
50.64044,3.063525,,,Cathédrale Notre-Dame-de-la-Treille
50.685679,3.168179,,,Zoo de Lille
50.629759,3.021589,,,Parc de la Citadelle
50.637771,3.088233,,,Église Saint-Maurice
50.685679,3.168179,,,Opéra de Lille
50.650381,3.087,,,Quartier du Vieux-Lille
50.62604,3.060143,,,Maison Coilliot
50.628769,3.057449,,,Théâtre Sébastopol
50.637914,3.00958,,,Parc Jean-Baptiste Lebas
50.639884,3.011868,,,Beffroi de l'Hôtel de Ville
50.622842,3.0607,,,Maison Folie Wazemmes
50.631942,3.071447,,,Gare Saint-Sauveur
50.635915,3.011921,,,Musée de l'Institut Pasteur
50.636469,3.055527,,,Square Dutilleul
50.634991,3.061539,,,Lille Grand Palais
50.621057,3.059511,,,Le Tripostal
50.639688,3.010803,,,Hôtel Carlton
50.622842,3.0607,,,Marché de Wazemmes
50.622842,3.0607,,,Les Halles de Wazemmes
50.637515,3.064251,,,Place du Théâtre
50.644196,3.112038,,,Fort de Mons-en-Barœul
50.644196,3.112038,,,Fort de Mons-en-Barœul
50.641166,3.062811,,,Rue de la Monnaie
50.652199,3.040107,,,Le Colysée de Lambersart
50.625745,3.05196,,,Marché de Noël de Lille
50.640135,3.064679,,,Place du Lion d'Or
50.63316,3.047505,,,Jardin Vauban
50.648504,3.003052,,,Piscine Olympique Marx Dormoy
50.640647,3.055373,,,Église Sainte-Catherine
50.632817,3.105393,,,Chapelle de la Réconciliation
50.616234,3.040992,,,Le Prato
50.63834,3.068671,,,L'Usine de Roubaix
50.649991,2.974304,,,Le Grand Playground
50.611078,3.057128,,,La Gare de Lille-Europe
50.627419,3.05376,,,La Gare de Lille-Flandres
50.628912,3.015183,,,Place de la République
50.62604,3.060143,,,Maison des étudiants catholiques
50.625543,3.108293,,,Parc Matisse
50.637162,3.055782,,,Le Bistrot du Quai
50.639884,3.011868,,,Hôtel de Ville de Lille
50.633214,3.067846,,,Stade Pierre-Mauroy
50.635625,3.062476,,,Place Rihour
50.623633,3.072443,,,Les Moulins de Lille
50.624823,3.058901,,,Complexe UGC Ciné Cité Lille
50.730657,3.146032,,,L’Herbe Folle
50.624354,3.058562,,,Hospice Gantois
50.632365,3.090626,,,Les 3 Brasseurs
50.637618,3.053965,,,Quai de Wault
50.643641,3.052911,,,Esplanade du Champ de Mars
50.634062,3.063507,,,Rue de Béthune
50.613607,3.073191,,,Les Poussins du Jardin Vauban
50.642842,3.06009,,,Collégiale Saint-Pierre
50.634503,3.050613,,,Palais Rameau
50.633169,3.063992,,,Le Grand Bleu
50.642906,3.067465,,,Grand Place
50.636876,3.059626,,,Le Nouveau Siècle
50.648831,3.082308,,,Parc du Héron
50.625543,3.108293,,,Parc Urbain d'EuraTechnologies
50.633108,3.088168,,,Le Prieuré de Loos
50.637515,3.064251,,,Le Théâtre du Nord
50.641729,3.062468,,,Le Palais de Justice
50.636289,2.978053,,,Université Lille 1
50.63075,3.025235,,,Quartier Bois Blancs
50.635318,3.045981,,,Chapelle Saint-Joseph
50.639884,3.011868,,,Hôtel Bellevue
50.632817,3.105393,,,L’Aéronef
50.633078,3.053181,,,Le Fresnoy - Studio national des arts contemporains
50.609502,3.042364,,,Le Jardin des Géants
50.622106,3.052549,,,Villa Cavrois
50.627437,3.088645,,,Institut d'Études Politiques de Lille (Sciences Po Lille)
50.631942,3.071447,,,Quartier Saint-Sauveur
50.634991,3.061539,,,Le Palais Rihour
50.640136,3.069243,,,Le Musée des Canonniers
50.636139,3.012855,,,Parc Naturel Urbain de Lomme
50.642442,3.061175,,,Marché de la Place du Concert
50.611052,3.045504,,,Le Faubourg des Modes
50.628441,3.091668,,,Fives Cail
50.627243,3.091774,,,Atelier 2 - Centre d'art contemporain
50.480179,1.5888,,,Le Grand Sud
50.637914,3.00958,,,Le Parc Jean-Baptiste Lebas
50.616537,3.026136,,,Chapelle des Carmes de Lille
50.628769,3.057449,,,Le Marché de la Place Sébastopol
50.621378,3.062446,,,Le Fort de Seclin
50.681856,3.101584,,,Collège de Marcq-en-Barœul
50.636025,3.084689,,,Le Parc des Dondaines
