original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,confidence_city_level,state_code,country,confidence_street_level,country_code,confidence,attribution,attribution_license,attribution_url
Palais des Beaux-Arts de Lille,50.630458149999995,3.0628110944444478,"Palais des Beaux-Arts, Place de la République, 59046 Lille, France",Palais des Beaux-Arts,,Place de la République,59046,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Vieille Bourse,50.6371325,3.0641154,"Crêperie La Vieille Bourse, 6 Rue des Sept Agaches, 59000 Lille, France",Crêperie La Vieille Bourse,6,Rue des Sept Agaches,59000,Lille,Euralille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cathédrale Notre-Dame-de-la-Treille,50.6401791,3.062811785213672,"Cathédrale Notre-Dame de la Treille, Place Gilleson, 59800 Lille, France",Cathédrale Notre-Dame de la Treille,,Place Gilleson,59800,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zoo de Lille,50.6382274,3.047748,"Zoo de Lille, Allée Arlette Gruss, 59800 Lille, France",Zoo de Lille,,Allée Arlette Gruss,59800,Lille,Vauban-Esquermes,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc de la Citadelle,50.6420898,3.0482218317792293,"Parc de la Citadelle, Vauban-Esquermes, Lille, Nord, France",Parc de la Citadelle,,,,Lille,Vauban-Esquermes,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Place Charles de Gaulle,49.9974349,3.30800665037099,"Place Charles de Gaulle, 02110 Beaurevoir, France",Place Charles de Gaulle,,,02110,,,Beaurevoir,Aisne,Hauts-de-France,1,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Musée d'Histoire Naturelle,47.2125096,-1.5642182,"Musée d'Histoire naturelle, Rue Voltaire, 44003 Nantes, France",Musée d'Histoire naturelle,,Rue Voltaire,44003,Graslin,Centre Ville,Nantes,Loire-Atlantique,Pays de la Loire,,PDL,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Église Saint-Maurice,47.2359948,6.027657457113594,"Église Saint-Maurice, Rue de la Bibliothèque, 25000 Besançon, France",Église Saint-Maurice,,Rue de la Bibliothèque,25000,,Sarrail,Besançon,Doubs,Bourgogne-Franche-Comté,,BFC,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Musée de l'Hospice Comtesse,50.6411688,3.0632054,"Musée de l'Hospice Comtesse, Rue de la Monnaie, 59043 Lille, France",Musée de l'Hospice Comtesse,,Rue de la Monnaie,59043,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,,HDF,France,,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Citadelle de Lille,50.701934,3.1322799944444437,"La Citadelle, Rue Mirabeau, 59420 Mouvaux, France",La Citadelle,,Rue Mirabeau,59420,,,Mouvaux,Nord,Hauts-de-France,,HDF,France,,fr,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
