original_name,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence,attribution,attribution_license,attribution_url
Palais des Beaux-Arts de Lille,50.630458149999995,3.0628110944444478,"Palais des Beaux-Arts, Place de la République, 59046 Lille, France",Palais des Beaux-Arts,,Place de la République,59046,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Vieille Bourse lille,50.6370472,3.064016968207108,"Vieille Bourse, Rue des Sept Agaches, 59800 Lille, France",Vieille Bourse,,Rue des Sept Agaches,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Cathédrale Notre-Dame-de-la-Treille lille,50.6401791,3.062811785213672,"Cathédrale Notre-Dame de la Treille, Place Gilleson, 59800 Lille, France",Cathédrale Notre-Dame de la Treille,,Place Gilleson,59800,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Zoo de Lille,50.6382274,3.047748,"Zoo de Lille, Allée Arlette Gruss, 59800 Lille, France",Zoo de Lille,,Allée Arlette Gruss,59800,Lille,Vauban-Esquermes,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Parc de la Citadelle lille,50.6420898,3.0482218317792293,"Parc de la Citadelle, Vauban-Esquermes, Lille, Nord, France",Parc de la Citadelle,,,,Lille,Vauban-Esquermes,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Place Charles de Gaulle lille,50.47706565,3.0555194925119555,"Place Charles de Gaulle, 59239 Thumeries, France",Place Charles de Gaulle,,,59239,,,Thumeries,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Musée d'Histoire Naturelle lille,50.6266587,3.06701952992126,"Musée d'Histoire Naturelle et de Géologie, Rue Malus, 59046 Lille, France",Musée d'Histoire Naturelle et de Géologie,,Rue Malus,59046,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Église Saint-Maurice lille,50.635879,3.0675010887495997,"Église Saint-Maurice, Parvis Saint-Maurice, 59800 Lille, France",Église Saint-Maurice,,Parvis Saint-Maurice,59800,Lille,Euralille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Musée de l'Hospice Comtesse lille,50.6411688,3.0632054,"Musée de l'Hospice Comtesse, Rue de la Monnaie, 59043 Lille, France",Musée de l'Hospice Comtesse,,Rue de la Monnaie,59043,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
La Citadelle de Lille,50.701934,3.1322799944444437,"La Citadelle, Rue Mirabeau, 59420 Mouvaux, France",La Citadelle,,Rue Mirabeau,59420,,,Mouvaux,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Maison natale de Charles de Gaulle lille,50.645844749999995,3.0586700703815612,"Maison natale de Charles de Gaulle, Rue Princesse, 59043 Lille, France",Maison natale de Charles de Gaulle,,Rue Princesse,59043,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Opéra de Lille,50.63771955,3.065317447354925,"Opéra de Lille, Rue de la Clef, 59800 Lille, France",Opéra de Lille,,Rue de la Clef,59800,Lille,Vieux-Lille,Lille,Nord,Hauts-de-France,HDF,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
